Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C11,0.1uF,C_0603_1608Metric,124.625,-73.7,0.0,top
C12,0.1uF,C_0603_1608Metric,114.6,-68.875,90.0,top
C15,1uF,C_0603_1608Metric,58.175,-97.5,180.0,top
C16,0.1uF,C_0603_1608Metric,63.6,-101.275,-90.0,top
C17,0.1uF,C_0603_1608Metric,67.0,-101.2,-90.0,top
C18,22uF,C_0603_1608Metric,63.6,-104.5,-90.0,top
C3,0.1uF,C_0603_1608Metric,45.4,-90.225,-90.0,top
C4,22uF,C_0603_1608Metric,64.5,-109.0,-90.0,top
C5,10uF,C_0603_1608Metric,68.3,-114.625,-90.0,top
C6,1uF,C_0603_1608Metric,125.4,-126.9,-90.0,top
C7,470uF,CP_Elec_10x10.5,133.0,-131.0,-90.0,top
C8,330uF,CP_Elec_10x10.5,84.9,-131.5,-90.0,top
C9,0.1uF,C_0603_1608Metric,92.4,-100.325,-90.0,top
CON1,MIKROBUS_HOST_CONN,MIKROBUS_HOST_CONN,102.3719,-46.7081,90.0,top
D1,S10MC,D_SMC_larger_pads,148.1,-133.3,0.0,top
D11,1N4148 - C2128,D_SOD-323,115.8,-92.05,-90.0,top
D12,C19077570,D_SMB,152.4,-83.95,90.0,top
D2,SS36,SMA(DO-214AC),110.3,-121.2,90.0,top
D3,LED,LED_0805_2012Metric,129.3,-121.08125,90.0,top
D4,S10MC,D_SMC_larger_pads,152.1,-99.8,180.0,top
D5,1N5819  C191023,1N5819,142.075,-91.77,180.0,top
D6,M7 - C95872,DO-214AC,49.4,-109.4,90.0,top
D7,1N4148 - C2128,D_SOD-323,143.7,-81.945,-90.0,top
D8,C19077570,D_SMB,123.4,-91.4,90.0,top
D9,C19077570,D_SMB,154.5,-126.4,180.0,top
F1,C492610,Fuse_Holder_C492610,167.15,-118.5,180.0,top
FB2,C16902,D_1206_3216Metric,169.2,-50.1,90.0,top
H2,MountingHole,MountingHole_4.3mm_M4,179.41,-24.44,0.0,top
H4,MountingHole,MountingHole_4.3mm_M4,179.41,-142.56,0.0,top
IC1,AZ1117,SOT-223,71.5,-108.5,0.0,top
IC2,XL2596,TO263-5L,118.6,-129.7975,-90.0,top
J1,Conn_01x04_Socket,PinSocket_1x04_P2.54mm_Vertical,123.02,-46.77,180.0,top
J2,Screw_Terminal_01x04,"TerminalBlock_Phoenix_PT-1,5-4-5.0-H_1x04_P5.00mm_Horizontal",145.4,-117.5,180.0,top
J4,105133-0011,MOLEX_105133-0011,50.7,-102.575,0.0,top
J7,DT13-12PA,DT1312PA,170.1675,-83.605,0.0,top
J9,Can Resistor,PinHeader_1x02_P2.54mm_Vertical,133.4,-66.27,0.0,top
L2,SMDRI127-330MT,TMPA1265SP-101MN-D,100.28,-130.57,90.0,top
Q1,BSS138,SOT-23,57.7625,-93.0,0.0,top
Q2,BSS138,SOT-23,57.8625,-87.95,0.0,top
R1,3.3K,R_0603_1608Metric,140.7,-81.03,180.0,top
R10,10K,R_0603_1608Metric,118.9,-91.7,90.0,top
R11,470,R_0603_1608Metric,136.675,-97.77,0.0,top
R12,2.2K,R_0603_1608Metric,107.3,-44.6,90.0,top
R13,3.3K,R_0603_1608Metric,117.3,-88.6,180.0,top
R14,10K,R_0603_1608Metric,127.675,-97.77,0.0,top
R15,10K,R_0603_1608Metric,60.7,-101.2,90.0,top
R16,10K,R_0603_1608Metric,124.475,-78.2,0.0,top
R17,10K,R_0603_1608Metric,102.6,-87.8,-90.0,top
R5,120,R_0603_1608Metric,123.7,-63.8,180.0,top
R7,1000,R_0603_1608Metric,124.9,-121.18125,90.0,top
R8,10K,R_0603_1608Metric,147.2,-81.78,90.0,top
R9,2.2K,R_0603_1608Metric,110.3,-44.7,90.0,top
S1,PESD1CAN_215  C15771,DIO_PESD1CAN_215,128.1,-67.8,90.0,top
U2,74HC14,SOIC-14_3.9x8.7mm_P1.27mm,95.025,-93.81,180.0,top
U3,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,50.525,-89.945,0.0,top
U4,MCP2562-E-SN,SOIC-8_3.9x4.9mm_P1.27mm,121.25,-68.805,0.0,top
U5,ESP32-WROOM-32U,XCVR_ESP32-WROOM-32U,72.91,-88.5,90.0,top
U6,PC817 chip,SMD-4_4.6x7.62mm_P2.54mm,133.0,-93.0,180.0,top
U7,PC817 chip,SMD-4_4.6x7.62mm_P2.54mm,133.2,-79.33,180.0,top
U8,PC817 chip,SMD-4_4.6x7.62mm_P2.54mm,110.0,-87.33,180.0,top
